Id,SalePrice
1461,120609.0
1462,146761.0
1463,185281.0
1464,194000.0
1465,192776.0
1466,174264.0
1467,178830.0
1468,163381.0
1469,183739.0
1470,116301.0
1471,189301.0
1472,97712.0
1473,103273.0
1474,147919.0
1475,119673.0
1476,390730.0
1477,253415.0
1478,277490.0
1479,300081.0
1480,428429.0
1481,294285.0
1482,202391.0
1483,161212.0
1484,164078.0
1485,196785.0
1486,187384.0
1487,319082.0
1488,237368.0
1489,206734.0
1490,249020.0
1491,196248.0
1492,93516.0
1493,186518.0
1494,299928.0
1495,312944.0
1496,252667.0
1497,171924.0
1498,154525.0
1499,155360.0
1500,154481.0
1501,171865.0
1502,148835.0
1503,326010.0
1504,257325.0
1505,216808.0
1506,168443.0
1507,250971.0
1508,183415.0
1509,159849.0
1510,137508.0
1511,140200.0
1512,162707.0
1513,148437.0
1514,184433.0
1515,184709.0
1516,164942.0
1517,154630.0
1518,122785.0
1519,211873.0
1520,128630.0
1521,134239.0
1522,181335.0
1523,108830.0
1524,133182.0
1525,126430.0
1526,123257.0
1527,103073.0
1528,127755.0
1529,149098.0
1530,168167.0
1531,103296.0
1532,94596.0
1533,140394.0
1534,120630.0
1535,155042.0
1536,107823.0
1537,84534.0
1538,156090.0
1539,200363.0
1540,98448.0
1541,151287.0
1542,136324.0
1543,190203.0
1544,82639.0
1545,122622.0
1546,139651.0
1547,121534.0
1548,129423.0
1549,120178.0
1550,140018.0
1551,114058.0
1552,140409.0
1553,140517.0
1554,117042.0
1555,146711.0
1556,85480.0
1557,102919.0
1558,108055.0
1559,85214.0
1560,141466.0
1561,135463.0
1562,129145.0
1563,120758.0
1564,160830.0
1565,162251.0
1566,222645.0
1567,79316.0
1568,196623.0
1569,124097.0
1570,141036.0
1571,145751.0
1572,147217.0
1573,250586.0
1574,118630.0
1575,223160.0
1576,233655.0
1577,192064.0
1578,144218.0
1579,149320.0
1580,198164.0
1581,139731.0
1582,129488.0
1583,305771.0
1584,230370.0
1585,142406.0
1586,71886.0
1587,120249.0
1588,142545.0
1589,114398.0
1590,138073.0
1591,94606.0
1592,111646.0
1593,130880.0
1594,116707.0
1595,110638.0
1596,231104.0
1597,163520.0
1598,234624.0
1599,178227.0
1600,171971.0
1601,74380.0
1602,108156.0
1603,96230.0
1604,242998.0
1605,260393.0
1606,168727.0
1607,147071.0
1608,222061.0
